,title,country,date_added,release_year,rating,listed_in,description,target
0,3%,Brazil,"August 14, 2020",2020,TV-MA,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",True
1,46,Turkey,"July 1, 2017",2016,TV-MA,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",False
2,1983,"Poland, United States","November 30, 2018",2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",False
3,1994,Mexico,"May 17, 2019",2019,TV-MA,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",False
5,​SAINT SEIYA: Knights of the Zodiac,Japan,"January 23, 2020",2020,TV-14,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",True
6,(Un)Well,United States,"August 12, 2020",2020,TV-MA,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",False
7,#blackAF,United States,"April 17, 2020",2020,TV-MA,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",False
9,Şubat,Turkey,"January 17, 2017",2013,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",False
10,100 Days My Prince,South Korea,"December 7, 2020",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",False
11,100 Humans,United States,"March 13, 2020",2020,TV-14,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",False
12,100% Hotter,United Kingdom,"November 1, 2019",2017,TV-14,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",False
13,12 Years Promise,South Korea,"May 22, 2017",2014,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",False
14,13 Reasons Why,United States,"June 5, 2020",2020,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",True
15,13 Reasons Why: Beyond the Reasons,United States,"August 23, 2019",2019,TV-MA,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",True
16,20 Minutes,Turkey,"August 15, 2017",2013,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",False
17,21 Again,United Kingdom,"July 1, 2020",2019,TV-MA,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",False
18,21 Sarfarosh: Saragarhi 1897,India,"December 1, 2018",2018,TV-14,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",False
19,21 Thunder,Canada,"March 1, 2018",2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",False
20,28 Moons,South Korea,"June 10, 2017",2016,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",False
21,3Below: Tales of Arcadia,United States,"July 12, 2019",2019,TV-Y7,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",True
22,44 Cats,Italy,"October 1, 2020",2018,TV-Y7,Kids' TV,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",True
23,45 rpm,Spain,"August 16, 2019",2019,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",False
24,60 Days In,United States,"November 1, 2020",2019,TV-MA,Reality TV,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",False
25,7 (Seven),India,"July 30, 2019",2019,TV-14,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",False
26,7 Days Out,United States,"December 21, 2018",2018,TV-PG,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",False
27,72 Cutest Animals,Australia,"June 1, 2016",2016,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,False
28,72 Dangerous Animals: Asia,Australia,"August 10, 2018",2018,TV-14,"Docuseries, International TV Shows, Science & Nature TV","From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",False
29,72 Dangerous Animals: Latin America,"Australia, United States","December 22, 2017",2017,TV-14,"Docuseries, International TV Shows, Science & Nature TV","Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",False
30,72 Dangerous Places to Live,Australia,"June 1, 2016",2016,TV-PG,"Docuseries, International TV Shows, Science & Nature TV","Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",False
32,9 Months That Made You,United States,"March 1, 2017",2016,TV-PG,"British TV Shows, Docuseries, Science & Nature TV","Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life.",False
33,A Boy Name Flora A,Taiwan,"September 1, 2017",2017,TV-MA,"International TV Shows, TV Comedies, TV Dramas",A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,False
34,A Good Wife,Taiwan,"January 1, 2017",2013,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner.",False
35,A House of Blocks,Taiwan,"September 1, 2017",2017,TV-PG,"International TV Shows, TV Dramas, TV Horror","Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",False
36,A Korean Odyssey,South Korea,"March 5, 2019",2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,False
37,A Lion in the House,United States,"November 10, 2020",2006,TV-14,TV Shows,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,False
38,A Little Help with Carol Burnett,United States,"May 4, 2018",2018,TV-G,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",False
39,A Little Thing Called First Love,China,"October 26, 2019",2019,TV-G,"International TV Shows, Romantic TV Shows, Teen TV Shows",A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.,False
40,A Love So Beautiful,South Korea,"December 28, 2020",2020,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",False
41,A Man Called God,South Korea,"March 12, 2019",2010,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows","Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",False
42,A Perfect Crime,Germany,"September 25, 2020",2020,TV-14,"Crime TV Shows, Docuseries, International TV Shows","This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.",False
43,A Queen Is Born,Brazil,"November 11, 2020",2020,TV-14,"International TV Shows, Reality TV",Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,False
44,A Series of Unfortunate Events,United States,"January 1, 2019",2019,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies","The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",True
45,A Taiwanese Tale of Two Cities,Taiwan,"January 27, 2019",2018,TV-MA,"International TV Shows, TV Dramas","A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",False
46,A Thousand Goodnights,Taiwan,"June 1, 2019",2019,TV-14,"International TV Shows, TV Dramas","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",False
47,A Touch of Green,Taiwan,"July 1, 2020",2016,TV-MA,"International TV Shows, TV Dramas","Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",False
48,A Very Secret Service,France,"July 30, 2018",2018,TV-MA,"International TV Shows, TV Comedies","At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",True
49,A Year In Space,United States,"November 1, 2019",2015,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,False
51,A.D. Kingdom and Empire,United States,"December 15, 2017",2015,TV-14,TV Dramas,"In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives.",False
52,A.I.C.O.,Japan,"March 9, 2018",2018,TV-14,"Anime Series, International TV Shows",Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,False
53,Abby Hatcher,"United States, Canada","July 1, 2020",2019,TV-Y,Kids' TV,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.",False
54,Abnormal Summit,South Korea," August 4, 2017",2017,TV-PG,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Led by a trio of Korean celebs, a multinational panel of men engage in – usually – lighthearted debates on issues that surround Korea and beyond.",True
55,Abstract: The Art of Design,United States,"September 25, 2019",2019,TV-14,Docuseries,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,True
56,Absurd Planet,United States,"April 22, 2020",2020,TV-PG,"Docuseries, Science & Nature TV, TV Comedies","A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth’s most incredible animals.",False
57,Abyss,South Korea,"May 7, 2019",2019,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",False
